Year,State,sumInsured,premiumRate,farmerShare,farmerShareValue,stateShare,stateShareValue,goiShare,goiShareValue,indemnityLevel,seasonCode,isPreviousSeasonYearInSubsidy,firstGoiSubsidy,categoryName,cropTypeCode,startDate,endDate,insuranceCompanyName
2021,Goa,37500.0,2.0,2.0,750.0,0.0,0.0,0.0,0.0,80,1,True,False,Pulses,1,2020-07-06,2030-11-24 13:45:49,FUTURE GENERALI INDIA INSURANCE CO. LTD.
2021,Goa,47500.0,2.0,2.0,950.0,0.0,0.0,0.0,0.0,80,1,True,False,Oilseeds,1,2020-07-06,2030-11-24 13:45:49,FUTURE GENERALI INDIA INSURANCE CO. LTD.
2022,HARYANA,89903.0,12.0,5.0,4495.15,3.5,3146.605,3.5,3146.605,90,1,True,True,Fiber Crops,2,2022-04-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Haryana,41500.0,7.0,2.0,830.0,2.5,1037.5,2.5,1037.5,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2018,Haryana,72000.0,12.9914,2.0,1440.0,6.9957,5036.904,3.9957,2876.904,90,1,False,True,Fiber Crops,2,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Haryana,73500.0,14.9346,2.0,1470.0,6.4673,4753.4655,6.4673,4753.4655,90,1,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Chhattisgarh,11200.0,5.0,1.5,168.0,1.75,196.0,1.75,196.0,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Haryana,36000.0,5.0,2.0,720.0,1.5,540.0,1.5,540.0,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2022,HARYANA,46314.0,13.0,2.0,926.28,5.5,2547.27,5.5,2547.27,90,1,True,True,Millets,1,2022-04-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Chhattisgarh,30000.0,4.0,1.5,450.0,1.25,375.0,1.25,375.0,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Assam,60100.0,4.0,1.5,901.5,1.25,751.25,1.25,751.25,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Haryana,41500.0,5.73,2.0,830.0,1.865,773.975,1.865,773.975,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2018,Haryana,36000.0,7.06,2.0,720.0,2.53,910.8,2.53,910.8,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2018,Assam,100500.0,3.0,3.0,3015.0,0.0,0.0,0.0,0.0,90,2,False,True,Sugar and Starch Crops,2,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2019,Haryana,76600.0,4.7,2.0,1532.0,2.7,2068.2,0.0,0.0,90,1,False,True,Fiber Crops,2,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2019,Haryana,77800.0,3.715,2.0,1556.0,0.8575,667.135,0.8575,667.135,90,1,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2018,Chhattisgarh,11200.0,27.0,1.5,168.0,12.75,1428.0,12.75,1428.0,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2022,HARYANA,43588.0,17.5718,2.0,871.76,7.7859,3393.71809,7.7859,3393.71809,90,1,True,True,Millets,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Chhattisgarh,29700.0,10.0,2.0,594.0,4.0,1188.0,4.0,1188.0,80,1,True,False,Cereals,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Chhattisgarh,37000.0,7.0,1.5,555.0,2.75,1017.5,2.75,1017.5,90,2,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Chhattisgarh,33340.0,10.0,1.5,500.1,4.25,1416.95,4.25,1416.95,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2021,Chhattisgarh,39500.0,7.11,2.0,790.0,2.555,1009.225,2.555,1009.225,90,1,True,False,Cereals,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Chhattisgarh,13000.0,20.0,1.5,195.0,9.25,1202.5,9.25,1202.5,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Chhattisgarh,16000.0,15.0,1.5,240.0,6.75,1080.0,6.75,1080.0,90,2,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Chhattisgarh,10000.0,15.0,1.5,150.0,6.75,675.0,6.75,675.0,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Chhattisgarh,22000.0,24.9,2.0,440.0,11.45,2519.0,11.45,2519.0,80,1,True,False,Millets,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Chhattisgarh,27500.0,8.52,2.0,550.0,3.26,896.5,3.26,896.5,80,1,True,False,Oilseeds,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Haryana,73500.0,12.114,2.0,1470.0,5.057,3716.895,5.057,3716.895,90,1,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Haryana,36000.0,6.88,2.0,720.0,2.44,878.4,2.44,878.4,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2018,Haryana,72000.0,17.1468,2.0,1440.0,9.0734,6532.848,6.0734,4372.848,90,1,False,True,Fiber Crops,2,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Haryana,41500.0,20.0,2.0,830.0,9.0,3735.0,9.0,3735.0,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Haryana,36000.0,9.267,2.0,720.0,3.6335,1308.06,3.6335,1308.06,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2022,ANDAMAN & NICOBAR ISLANDS,69506.0,9.0,0.5,347.53,5.0,3475.3,3.5,2432.71,80,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,NATIONAL INSURANCE COMPANY LIMITED
2022,CHHATTISGARH,34800.0,24.57,2.0,696.0,11.285,3927.18,11.285,3927.18,80,1,True,True,Pulses,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,CHHATTISGARH,39600.0,20.87,2.0,792.0,9.435,3736.26,9.435,3736.26,80,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,CHHATTISGARH,37400.0,16.18,2.0,748.0,7.09,2651.66,7.09,2651.66,80,1,True,True,Millets,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,CHHATTISGARH,18000.0,24.9,2.0,360.0,11.45,2061.0,11.45,2061.0,80,1,True,True,Pulses,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,CHHATTISGARH,33000.0,10.48,2.0,660.0,4.24,1399.2,4.24,1399.2,80,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,CHHATTISGARH,30000.0,21.46,2.0,600.0,9.73,2919.0,9.73,2919.0,80,1,True,True,Millets,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Goa,66750.0,2.0,2.0,1335.0,0.0,0.0,0.0,0.0,80,1,True,False,Cereals,1,2020-07-06,2030-11-24 13:45:49,FUTURE GENERALI INDIA INSURANCE CO. LTD.
2020,Chhattisgarh,36000.0,15.0,2.0,720.0,6.5,2340.0,6.5,2340.0,80,1,False,True,Cereals,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Goa,66750.0,2.39,1.5,1001.25,0.445,297.0375,0.445,297.0375,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,HDFC ERGO GENERAL INSURANCE CO. LTD.
