Year,State,sumInsured,premiumRate,farmerShare,farmerShareValue,stateShare,stateShareValue,goiShare,goiShareValue,indemnityLevel,seasonCode,isPreviousSeasonYearInSubsidy,firstGoiSubsidy,categoryName,cropTypeCode,insuranceCompanyName,Policy Term (Days)
2018,haryana,72000.0,12.9914,2.0,1440.0,6.9957,5036.904,3.9957,2876.904,90,1,False,True,Fiber Crops,2,ORIENTAL INSURANCE,4710
2019,haryana,76600.0,4.7,2.0,1532.0,2.7,2068.2,0.0,0.0,90,1,False,True,Fiber Crops,2,SBI GENERAL INSURANCE,4710
2018,haryana,72000.0,17.1468,2.0,1440.0,9.0734,6532.848,6.0734,4372.848,90,1,False,True,Fiber Crops,2,ORIENTAL INSURANCE,4710
2022,andamannicobarislands,69506.0,9.0,0.5,347.53,5.0,3475.3,3.5,2432.71,80,1,True,True,Cereals,1,NATIONAL INSURANCE COMPANY LIMITED,3159
2022,haryana,89903.0,17.1488,5.0,4495.15,6.074400000000002,5461.06783,6.0744,5461.06783,90,1,True,True,Fiber Crops,2,AGRICULTURE INSURANCE COMPANY,3159
2019,haryana,38300.0,6.56,0.0,0.0,4.279999999999999,1639.24,2.28,873.24,90,1,False,True,Millets,1,SBI GENERAL INSURANCE,4710
2022,haryana,40750.0,26.5,2.0,815.0,13.0,5297.5,11.5,4686.25,90,1,True,True,Pulses,1,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,3159
2022,andamannicobarislands,65676.0,8.0,0.5,328.38,4.5,2955.42,3.0,1970.28,80,1,True,True,Cereals,1,NATIONAL INSURANCE COMPANY LIMITED,3159
2019,haryana,76600.0,15.0,2.0,1532.0,8.0,6128.0,5.0,3830.0,90,1,False,True,Fiber Crops,2,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,4710
2019,haryana,38300.0,7.27,0.0,0.0,4.635,1775.205,2.635,1009.205,90,1,False,True,Millets,1,SBI GENERAL INSURANCE,4710
2018,westbengal,60000.0,2.67,0.0,0.0,2.335,1401.0,0.335,201.0,90,1,False,True,Cereals,1,HDFC ERGO GENERAL INSURANCE CO. LTD.,4710
2020,tamilnadu,61627.0,36.85,5.0,3081.35,19.35,11924.8245,12.5,7703.375,90,1,False,True,Vegetables,2,ORIENTAL INSURANCE,3838
2020,tamilnadu,27784.0,48.15,5.0,1389.2,30.65,8515.796,12.5,3473.0,90,1,False,True,Fiber Crops,2,ORIENTAL INSURANCE,3838
2020,tamilnadu,21736.0,37.58,2.0,434.72,21.58,4690.6288,14.0,3043.04,90,1,False,True,Oilseeds,1,ORIENTAL INSURANCE,3838
2020,tamilnadu,22107.0,60.41,2.0,442.14,44.41,9817.7187,14.0,3094.98,90,1,False,True,Millets,1,ORIENTAL INSURANCE,3838
2018,westbengal,62500.0,9.42,0.0,0.0,5.71,3568.75,3.71,2318.75,90,1,False,True,Millets,1,HDFC ERGO GENERAL INSURANCE CO. LTD.,4710
2018,westbengal,73750.0,5.18,0.0,0.0,3.59,2647.625,1.59,1172.625,90,1,False,True,Cereals,1,HDFC ERGO GENERAL INSURANCE CO. LTD.,4710
2020,tamilnadu,40879.0,31.5,2.0,817.58,18.0,7358.22,11.5,4701.085,70,1,False,True,Pulses,1,AGRICULTURE INSURANCE COMPANY,3838
2020,tamilnadu,17167.0,31.5,2.0,343.34,18.0,3090.06,11.5,1974.205,70,1,False,True,Millets,1,AGRICULTURE INSURANCE COMPANY,3838
2020,tamilnadu,16863.0,36.75,5.0,843.15,21.75,3667.7025,10.0,1686.3,70,1,False,True,Fiber Crops,2,AGRICULTURE INSURANCE COMPANY,3838
2020,tamilnadu,55822.0,31.5,2.0,1116.44,18.0,10047.96,11.5,6419.53,70,1,False,True,Oilseeds,1,AGRICULTURE INSURANCE COMPANY,3838
2020,tamilnadu,29517.0,26.25,2.0,590.34,12.75,3763.4175,11.5,3394.455,70,1,False,True,Millets,1,AGRICULTURE INSURANCE COMPANY,3838
2020,tamilnadu,19143.0,42.0,2.0,382.86,28.5,5455.755,11.5,2201.445,70,1,False,True,Oilseeds,1,AGRICULTURE INSURANCE COMPANY,3838
2018,westbengal,55000.0,1.5,0.0,0.0,1.5,825.0,0.0,0.0,80,1,False,True,Fiber Crops,2,ORIENTAL INSURANCE,4710
2020,tamilnadu,30258.0,31.5,2.0,605.16,18.0,5446.44,11.5,3479.67,70,1,False,True,Oilseeds,1,AGRICULTURE INSURANCE COMPANY,3838
2021,haryana,44108.0,30.0,2.0,882.16,16.5,7277.82,11.5,5072.42,90,1,True,True,Millets,1,RELIANCE GENERAL INSURANCE CO. LTD.,3793
